  0.69999999999999996        21000000000.000000     
    1143          0.31557300E+14
     0.0000000E+00            0.100000000000E+16            0.116793850000E+06
     0.5648380E+02            0.100000000000E+16            0.116793850000E+06
     0.1694510E+03            0.100000000000E+16            0.116793850000E+06
     0.2824190E+03            0.100000000000E+16            0.116793840000E+06
     0.3953870E+03            0.100000000000E+16            0.116793840000E+06
     0.5648380E+03            0.100000000000E+16            0.116793830000E+06
     0.7907730E+03            0.999999000000E+15            0.116793820000E+06
     0.1016710E+04            0.999999000000E+15            0.116793800000E+06
     0.1242640E+04            0.999999000000E+15            0.116793780000E+06
     0.1503470E+04            0.999998000000E+15            0.116793750000E+06
     0.1799190E+04            0.999997000000E+15            0.116793710000E+06
     0.2094910E+04            0.999996000000E+15            0.116793670000E+06
     0.2390630E+04            0.999995000000E+15            0.116793620000E+06
     0.2730890E+04            0.999994000000E+15            0.116793540000E+06
     0.3115680E+04            0.999992000000E+15            0.116793470000E+06
     0.3500470E+04            0.999990000000E+15            0.116793370000E+06
     0.3885260E+04            0.999988000000E+15            0.116793280000E+06
     0.4319070E+04            0.999985000000E+15            0.116793110000E+06
     0.4801900E+04            0.999982000000E+15            0.116792970000E+06
     0.5284730E+04            0.999979000000E+15            0.116792790000E+06
     0.5767560E+04            0.999975000000E+15            0.116792620000E+06
     0.6301880E+04            0.999969000000E+15            0.116792340000E+06
     0.6887670E+04            0.999964000000E+15            0.116792100000E+06
     0.7473460E+04            0.999958000000E+15            0.116791800000E+06
     0.8059260E+04            0.999953000000E+15            0.116791510000E+06
     0.8698350E+04            0.999943000000E+15            0.116791060000E+06
     0.9390740E+04            0.999935000000E+15            0.116790670000E+06
     0.1008310E+05            0.999926000000E+15            0.116790200000E+06
     0.1077550E+05            0.999917000000E+15            0.116789740000E+06
     0.1152290E+05            0.999903000000E+15            0.116789070000E+06
     0.1232510E+05            0.999891000000E+15            0.116788460000E+06
     0.1312740E+05            0.999877000000E+15            0.116787760000E+06
     0.1392970E+05            0.999863000000E+15            0.116787080000E+06
     0.1478850E+05            0.999843000000E+15            0.116786110000E+06
     0.1570390E+05            0.999825000000E+15            0.116785240000E+06
     0.1661930E+05            0.999805000000E+15            0.116784240000E+06
     0.1753460E+05            0.999785000000E+15            0.116783260000E+06
     0.1850810E+05            0.999758000000E+15            0.116781910000E+06
     0.1953960E+05            0.999733000000E+15            0.116780680000E+06
     0.2057120E+05            0.999705000000E+15            0.116779300000E+06
     0.2160270E+05            0.999677000000E+15            0.116777940000E+06
     0.2269380E+05            0.999640000000E+15            0.116776120000E+06
     0.2384460E+05            0.999607000000E+15            0.116774450000E+06
     0.2499530E+05            0.999569000000E+15            0.116772590000E+06
     0.2614610E+05            0.999532000000E+15            0.116770760000E+06
     0.2735790E+05            0.999483000000E+15            0.116768350000E+06
     0.2863090E+05            0.999438000000E+15            0.116766130000E+06
     0.2990380E+05            0.999388000000E+15            0.116763690000E+06
     0.3117670E+05            0.999339000000E+15            0.116761270000E+06
     0.3251210E+05            0.999276000000E+15            0.116758160000E+06
     0.3391010E+05            0.999218000000E+15            0.116755270000E+06
     0.3530800E+05            0.999154000000E+15            0.116752120000E+06
     0.3670600E+05            0.999091000000E+15            0.116749000000E+06
     0.3816780E+05            0.999010000000E+15            0.116745040000E+06
     0.3969360E+05            0.998936000000E+15            0.116741360000E+06
     0.4121940E+05            0.998855000000E+15            0.116737360000E+06
     0.4274510E+05            0.998774000000E+15            0.116733400000E+06
     0.4433610E+05            0.998674000000E+15            0.116728440000E+06
     0.4599240E+05            0.998580000000E+15            0.116723810000E+06
     0.4764870E+05            0.998478000000E+15            0.116718810000E+06
     0.4930490E+05            0.998378000000E+15            0.116713860000E+06
     0.5102770E+05            0.998254000000E+15            0.116707730000E+06
     0.5281710E+05            0.998137000000E+15            0.116701990000E+06
     0.5460640E+05            0.998012000000E+15            0.116695830000E+06
     0.5639580E+05            0.997888000000E+15            0.116689710000E+06
     0.5825300E+05            0.997736000000E+15            0.116682230000E+06
     0.6017790E+05            0.997594000000E+15            0.116675200000E+06
     0.6210290E+05            0.997441000000E+15            0.116667680000E+06
     0.6402790E+05            0.997290000000E+15            0.116660210000E+06
