model:  21
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
 spatialKnot      rho            pressure         lagrangianMass      Phi                    redshiftFactor              volumeFactor
.0000000E+00    .1000000E+16    .1957555E+36    .9435613E+20        -0.6072855548E+00         0.5448277688E+00         0.1000000000E+01
.5648379E+02    .1000000E+16    .1957555E+36    .6070498E+22        -0.6072855548E+00         0.5448277688E+00         0.1000000008E+01
.1694514E+03    .1000000E+16    .1957555E+36    .3623428E+23        -0.6072855548E+00         0.5448277688E+00         0.1000000016E+01
.2824189E+03    .9999999E+15    .1957555E+36    .1932495E+24        -0.6072855152E+00         0.5448277904E+00         0.1000000051E+01
.3953865E+03    .9999999E+15    .1957555E+36    .4468894E+24        -0.6072854951E+00         0.5448278013E+00         0.1000000084E+01
.5648379E+03    .9999996E+15    .1957553E+36    .1545996E+25        -0.6072853971E+00         0.5448278548E+00         0.1000000203E+01
.7907731E+03    .9999994E+15    .1957553E+36    .3575115E+25        -0.6072853168E+00         0.5448278985E+00         0.1000000335E+01
.1016708E+04    .9999990E+15    .1957551E+36    .7729976E+25        -0.6072851343E+00         0.5448279979E+00         0.1000000564E+01
.1242643E+04    .9999987E+15    .1957549E+36    .1265783E+26        -0.6072849934E+00         0.5448280747E+00         0.1000000755E+01
.1503471E+04    .9999979E+15    .1957545E+36    .2409417E+26        -0.6072846698E+00         0.5448282510E+00         0.1000001188E+01
.1799192E+04    .9999973E+15    .1957543E+36    .3753268E+26        -0.6072843997E+00         0.5448283981E+00         0.1000001547E+01
.2094913E+04    .9999963E+15    .1957538E+36    .5909695E+26        -0.6072839881E+00         0.5448286224E+00         0.1000002092E+01
.2390634E+04    .9999954E+15    .1957534E+36    .8239449E+26        -0.6072836221E+00         0.5448288218E+00         0.1000002555E+01
.2730888E+04    .9999937E+15    .1957526E+36    .1308432E+27        -0.6072828945E+00         0.5448292182E+00         0.1000003552E+01
.3115677E+04    .9999922E+15    .1957519E+36    .1823286E+27        -0.6072822737E+00         0.5448295564E+00         0.1000004339E+01
.3500466E+04    .9999902E+15    .1957510E+36    .2574802E+27        -0.6072814343E+00         0.5448300138E+00         0.1000005454E+01
.3885255E+04    .9999884E+15    .1957501E+36    .3364502E+27        -0.6072806550E+00         0.5448304384E+00         0.1000006421E+01
.4319066E+04    .9999851E+15    .1957486E+36    .4857866E+27        -0.6072792591E+00         0.5448311989E+00         0.1000008339E+01
.4801899E+04    .9999822E+15    .1957473E+36    .6372878E+27        -0.6072780509E+00         0.5448318572E+00         0.1000009840E+01
.5284732E+04    .9999786E+15    .1957456E+36    .8460026E+27        -0.6072765174E+00         0.5448326927E+00         0.1000011870E+01
.5767565E+04    .9999752E+15    .1957440E+36    .1062261E+28        -0.6072750626E+00         0.5448334853E+00         0.1000013656E+01
.6301878E+04    .9999695E+15    .1957414E+36    .1440486E+28        -0.6072726609E+00         0.5448347938E+00         0.1000016948E+01
.6887671E+04    .9999645E+15    .1957391E+36    .1814991E+28        -0.6072705533E+00         0.5448359421E+00         0.1000019539E+01
.7473464E+04    .9999584E+15    .1957363E+36    .2309981E+28        -0.6072679862E+00         0.5448373408E+00         0.1000022918E+01
.8059257E+04    .9999526E+15    .1957336E+36    .2818442E+28        -0.6072655184E+00         0.5448386853E+00         0.1000025930E+01
.8698350E+04    .9999435E+15    .1957294E+36    .3654488E+28        -0.6072616914E+00         0.5448407704E+00         0.1000031152E+01
.9390743E+04    .9999354E+15    .1957256E+36    .4471047E+28        -0.6072582927E+00         0.5448426221E+00         0.1000035303E+01
.1008314E+05    .9999259E+15    .1957212E+36    .5516665E+28        -0.6072542715E+00         0.5448448131E+00         0.1000040568E+01
.1077553E+05    .9999167E+15    .1957170E+36    .6584525E+28        -0.6072503720E+00         0.5448469377E+00         0.1000045310E+01
.1152287E+05    .9999030E+15    .1957107E+36    .8256420E+28        -0.6072446106E+00         0.5448500768E+00         0.1000053131E+01
.1232515E+05    .9998908E+15    .1957050E+36    .9876194E+28        -0.6072394423E+00         0.5448528927E+00         0.1000059418E+01
.1312744E+05    .9998766E+15    .1956984E+36    .1189900E+29        -0.6072334583E+00         0.5448561531E+00         0.1000067213E+01
.1392973E+05    .9998628E+15    .1956920E+36    .1395640E+29        -0.6072276199E+00         0.5448593342E+00         0.1000074295E+01
.1478855E+05    .9998432E+15    .1956829E+36    .1705231E+29        -0.6072193185E+00         0.5448638574E+00         0.1000085505E+01
.1570391E+05    .9998254E+15    .1956747E+36    .2003718E+29        -0.6072118084E+00         0.5448679494E+00         0.1000094617E+01
.1661927E+05    .9998051E+15    .1956654E+36    .2368969E+29        -0.6072032573E+00         0.5448726086E+00         0.1000105705E+01
.1753462E+05    .9997853E+15    .1956562E+36    .2739356E+29        -0.6071948771E+00         0.5448771748E+00         0.1000115853E+01
.1850807E+05    .9997579E+15    .1956435E+36    .3278721E+29        -0.6071833268E+00         0.5448834683E+00         0.1000131373E+01
.1953961E+05    .9997330E+15    .1956320E+36    .3797245E+29        -0.6071728025E+00         0.5448892029E+00         0.1000144120E+01
.2057116E+05    .9997050E+15    .1956190E+36    .4421153E+29        -0.6071609776E+00         0.5448956462E+00         0.1000159389E+01
.2160270E+05    .9996775E+15    .1956063E+36    .5052408E+29        -0.6071493503E+00         0.5449019819E+00         0.1000173453E+01
.2269384E+05    .9996405E+15    .1955892E+36    .5946606E+29        -0.6071337329E+00         0.5449104919E+00         0.1000194342E+01
.2384460E+05    .9996066E+15    .1955735E+36    .6804857E+29        -0.6071194149E+00         0.5449182939E+00         0.1000211663E+01
.2499535E+05    .9995689E+15    .1955561E+36    .7822994E+29        -0.6071035005E+00         0.5449269661E+00         0.1000232137E+01
.2614611E+05    .9995318E+15    .1955389E+36    .8851326E+29        -0.6070878119E+00         0.5449355153E+00         0.1000251098E+01
.2735794E+05    .9994829E+15    .1955163E+36    .1027398E+30        -0.6070671937E+00         0.5449467510E+00         0.1000278558E+01
.2863086E+05    .9994380E+15    .1954955E+36    .1163833E+30        -0.6070481893E+00         0.5449571075E+00         0.1000301531E+01
.2990378E+05    .9993884E+15    .1954726E+36    .1323737E+30        -0.6070272543E+00         0.5449685163E+00         0.1000328373E+01
.3117670E+05    .9993394E+15    .1954499E+36    .1485019E+30        -0.6070065749E+00         0.5449797860E+00         0.1000353355E+01
.3251214E+05    .9992763E+15    .1954207E+36    .1703622E+30        -0.6069799002E+00         0.5449943234E+00         0.1000388740E+01
.3391009E+05    .9992178E+15    .1953937E+36    .1913212E+30        -0.6069551973E+00         0.5450077865E+00         0.1000418587E+01
.3530804E+05    .9991538E+15    .1953641E+36    .2156294E+30        -0.6069281895E+00         0.5450225061E+00         0.1000453115E+01
.3670599E+05    .9990906E+15    .1953349E+36    .2401200E+30        -0.6069014685E+00         0.5450370699E+00         0.1000485385E+01
.3816785E+05    .9990103E+15    .1952978E+36    .2727239E+30        -0.6068675541E+00         0.5450555548E+00         0.1000530212E+01
.3969361E+05    .9989356E+15    .1952633E+36    .3039867E+30        -0.6068360150E+00         0.5450727456E+00         0.1000568307E+01
.4121937E+05    .9988545E+15    .1952258E+36    .3399150E+30        -0.6068017549E+00         0.5450914202E+00         0.1000611993E+01
.4274513E+05    .9987742E+15    .1951886E+36    .3760802E+30        -0.6067678142E+00         0.5451099213E+00         0.1000652977E+01
.4433614E+05    .9986736E+15    .1951422E+36    .4234673E+30        -0.6067253438E+00         0.5451330728E+00         0.1000708928E+01
.4599240E+05    .9985798E+15    .1950988E+36    .4689210E+30        -0.6066857000E+00         0.5451546844E+00         0.1000756807E+01
.4764866E+05    .9984784E+15    .1950520E+36    .5207381E+30        -0.6066428752E+00         0.5451780310E+00         0.1000811289E+01
.4930492E+05    .9983779E+15    .1950055E+36    .5728575E+30        -0.6066004037E+00         0.5452011860E+00         0.1000862574E+01
.5102773E+05    .9982537E+15    .1949481E+36    .6401880E+30        -0.6065479225E+00         0.5452297996E+00         0.1000931508E+01
.5281709E+05    .9981373E+15    .1948944E+36    .7048049E+30        -0.6064987689E+00         0.5452566003E+00         0.1000990873E+01
.5460645E+05    .9980123E+15    .1948366E+36    .7779408E+30        -0.6064459290E+00         0.5452854123E+00         0.1001057962E+01
.5639581E+05    .9978881E+15    .1947793E+36    .8514573E+30        -0.6063934777E+00         0.5453140140E+00         0.1001121307E+01
.5825297E+05    .9977364E+15    .1947093E+36    .9452265E+30        -0.6063293876E+00         0.5453489644E+00         0.1001205261E+01
.6017793E+05    .9975940E+15    .1946435E+36    .1035273E+31        -0.6062691774E+00         0.5453818009E+00         0.1001277992E+01
.6210289E+05    .9974414E+15    .1945731E+36    .1136538E+31        -0.6062047290E+00         0.5454169510E+00         0.1001359677E+01
.6402786E+05    .9972899E+15    .1945032E+36    .1238275E+31        -0.6061407057E+00         0.5454518716E+00         0.1001437018E+01
.6602183E+05    .9971067E+15    .1944186E+36    .1366551E+31        -0.6060632607E+00         0.5454941157E+00         0.1001538219E+01
.6808481E+05    .9969341E+15    .1943389E+36    .1489822E+31        -0.6059903012E+00         0.5455339161E+00         0.1001626377E+01
.7014779E+05    .9967500E+15    .1942540E+36    .1627647E+31        -0.6059125033E+00         0.5455763592E+00         0.1001724834E+01
.7221077E+05    .9965670E+15    .1941696E+36    .1766052E+31        -0.6058351681E+00         0.5456185531E+00         0.1001818291E+01
.7434391E+05    .9963477E+15    .1940685E+36    .1938737E+31        -0.6057424707E+00         0.5456691329E+00         0.1001939161E+01
.7654722E+05    .9961406E+15    .1939730E+36    .2104808E+31        -0.6056549188E+00         0.5457169093E+00         0.1002044995E+01
.7875053E+05    .9959205E+15    .1938716E+36    .2289512E+31        -0.6055618789E+00         0.5457676851E+00         0.1002162594E+01
.8095384E+05    .9957016E+15    .1937707E+36    .2474919E+31        -0.6054693405E+00         0.5458181920E+00         0.1002274478E+01
.8322842E+05    .9954414E+15    .1936508E+36    .2704033E+31        -0.6053593379E+00         0.5458782367E+00         0.1002417640E+01
.8557428E+05    .9951951E+15    .1935374E+36    .2924544E+31        -0.6052551965E+00         0.5459350881E+00         0.1002543596E+01
.8792013E+05    .9949342E+15    .1934172E+36    .3168619E+31        -0.6051448673E+00         0.5459953240E+00         0.1002682906E+01
.9026599E+05    .9946746E+15    .1932977E+36    .3413540E+31        -0.6050350791E+00         0.5460552712E+00         0.1002815728E+01
.9268417E+05    .9943683E+15    .1931568E+36    .3713529E+31        -0.6049055609E+00         0.5461259998E+00         0.1002984011E+01
.9517468E+05    .9940778E+15    .1930231E+36    .4002483E+31        -0.6047826762E+00         0.5461931145E+00         0.1003132736E+01
.9766519E+05    .9937709E+15    .1928819E+36    .4320907E+31        -0.6046528526E+00         0.5462640278E+00         0.1003296531E+01
.1001557E+06    .9934653E+15    .1927414E+36    .4640336E+31        -0.6045236105E+00         0.5463346328E+00         0.1003453006E+01
.1027195E+06    .9931075E+15    .1925769E+36    .5028397E+31        -0.6043722065E+00         0.5464173563E+00         0.1003649451E+01
.1053567E+06    .9927672E+15    .1924205E+36    .5402484E+31        -0.6042282654E+00         0.5464960138E+00         0.1003823802E+01
.1079939E+06    .9924088E+15    .1922559E+36    .5813048E+31        -0.6040765828E+00         0.5465789140E+00         0.1004015068E+01
.1106310E+06    .9920518E+15    .1920919E+36    .6224798E+31        -0.6039255226E+00         0.5466614866E+00         0.1004198122E+01
.1133425E+06    .9916364E+15    .1919012E+36    .6721225E+31        -0.6037497018E+00         0.5467576095E+00         0.1004425988E+01
.1161282E+06    .9912407E+15    .1917197E+36    .7200159E+31        -0.6035822307E+00         0.5468491833E+00         0.1004629035E+01
.1189139E+06    .9908247E+15    .1915289E+36    .7723817E+31        -0.6034061637E+00         0.5469454739E+00         0.1004850976E+01
.1216996E+06    .9904104E+15    .1913389E+36    .8248860E+31        -0.6032307602E+00         0.5470414184E+00         0.1005063750E+01
.1245605E+06    .9899311E+15    .1911193E+36    .8877405E+31        -0.6030278306E+00         0.5471524406E+00         0.1005326519E+01
.1274965E+06    .9894739E+15    .1909098E+36    .9484284E+31        -0.6028341947E+00         0.5472583992E+00         0.1005561553E+01
.1304326E+06    .9889942E+15    .1906902E+36    .1014551E+32        -0.6026310567E+00         0.5473695795E+00         0.1005817594E+01
.1333686E+06    .9885163E+15    .1904715E+36    .1080834E+32        -0.6024286237E+00         0.5474803964E+00         0.1006063455E+01
