model:  21
model depth: 10^{10}g/cc
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
 sigma = 0.700000E+00
The model does not account for superfluidity                                                                                                                                                            
#
    1143
       5
   time           timeInYear       radius         rho            temperature     capacity       conductivity       sources
   0.315573E+14   0.100001E+07   0.000000E+00   0.100000E+16    0.11679385E+06   0.302569E+17   0.534648-269  -0.206898E+04
   0.315573E+14   0.100001E+07   0.564838E+02   0.100000E+16    0.11679385E+06   0.302569E+17   0.567147E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.169451E+03   0.100000E+16    0.11679385E+06   0.302569E+17   0.567147E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.282419E+03   0.100000E+16    0.11679384E+06   0.302569E+17   0.567147E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.395387E+03   0.100000E+16    0.11679384E+06   0.302569E+17   0.567147E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.564838E+03   0.100000E+16    0.11679383E+06   0.302569E+17   0.567147E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.790773E+03   0.999999E+15    0.11679382E+06   0.302569E+17   0.567147E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.101671E+04   0.999999E+15    0.11679380E+06   0.302569E+17   0.567146E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.124264E+04   0.999999E+15    0.11679378E+06   0.302568E+17   0.567146E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.150347E+04   0.999998E+15    0.11679375E+06   0.302568E+17   0.567146E+27  -0.206898E+04
   0.315573E+14   0.100001E+07   0.179919E+04   0.999997E+15    0.11679371E+06   0.302568E+17   0.567145E+27  -0.206897E+04
   0.315573E+14   0.100001E+07   0.209491E+04   0.999996E+15    0.11679367E+06   0.302568E+17   0.567145E+27  -0.206897E+04
   0.315573E+14   0.100001E+07   0.239063E+04   0.999995E+15    0.11679362E+06   0.302568E+17   0.567144E+27  -0.206897E+04
   0.315573E+14   0.100001E+07   0.273089E+04   0.999994E+15    0.11679354E+06   0.302567E+17   0.567143E+27  -0.206896E+04
   0.315573E+14   0.100001E+07   0.311568E+04   0.999992E+15    0.11679347E+06   0.302567E+17   0.567142E+27  -0.206896E+04
   0.315573E+14   0.100001E+07   0.350047E+04   0.999990E+15    0.11679337E+06   0.302566E+17   0.567141E+27  -0.206895E+04
   0.315573E+14   0.100001E+07   0.388526E+04   0.999988E+15    0.11679328E+06   0.302566E+17   0.567140E+27  -0.206894E+04
   0.315573E+14   0.100001E+07   0.431907E+04   0.999985E+15    0.11679311E+06   0.302565E+17   0.567138E+27  -0.206893E+04
   0.315573E+14   0.100001E+07   0.480190E+04   0.999982E+15    0.11679297E+06   0.302564E+17   0.567136E+27  -0.206892E+04
   0.315573E+14   0.100001E+07   0.528473E+04   0.999979E+15    0.11679279E+06   0.302564E+17   0.567134E+27  -0.206890E+04
   0.315573E+14   0.100001E+07   0.576756E+04   0.999975E+15    0.11679262E+06   0.302563E+17   0.567132E+27  -0.206889E+04
   0.315573E+14   0.100001E+07   0.630188E+04   0.999969E+15    0.11679234E+06   0.302561E+17   0.567129E+27  -0.206887E+04
   0.315573E+14   0.100001E+07   0.688767E+04   0.999964E+15    0.11679210E+06   0.302560E+17   0.567126E+27  -0.206885E+04
   0.315573E+14   0.100001E+07   0.747346E+04   0.999958E+15    0.11679180E+06   0.302559E+17   0.567122E+27  -0.206883E+04
   0.315573E+14   0.100001E+07   0.805926E+04   0.999953E+15    0.11679151E+06   0.302557E+17   0.567118E+27  -0.206880E+04
   0.315573E+14   0.100001E+07   0.869835E+04   0.999943E+15    0.11679106E+06   0.302555E+17   0.567114E+27  -0.206877E+04
   0.315573E+14   0.100001E+07   0.939074E+04   0.999935E+15    0.11679067E+06   0.302553E+17   0.567108E+27  -0.206874E+04
   0.315573E+14   0.100001E+07   0.100831E+05   0.999926E+15    0.11679020E+06   0.302551E+17   0.567103E+27  -0.206870E+04
   0.315573E+14   0.100001E+07   0.107755E+05   0.999917E+15    0.11678974E+06   0.302548E+17   0.567097E+27  -0.206867E+04
   0.315573E+14   0.100001E+07   0.115229E+05   0.999903E+15    0.11678907E+06   0.302545E+17   0.567089E+27  -0.206862E+04
   0.315573E+14   0.100001E+07   0.123251E+05   0.999891E+15    0.11678846E+06   0.302542E+17   0.567081E+27  -0.206857E+04
   0.315573E+14   0.100001E+07   0.131274E+05   0.999877E+15    0.11678776E+06   0.302538E+17   0.567073E+27  -0.206852E+04
   0.315573E+14   0.100001E+07   0.139297E+05   0.999863E+15    0.11678708E+06   0.302535E+17   0.567064E+27  -0.206846E+04
   0.315573E+14   0.100001E+07   0.147885E+05   0.999843E+15    0.11678611E+06   0.302530E+17   0.567053E+27  -0.206839E+04
   0.315573E+14   0.100001E+07   0.157039E+05   0.999825E+15    0.11678524E+06   0.302526E+17   0.567041E+27  -0.206832E+04
   0.315573E+14   0.100001E+07   0.166193E+05   0.999805E+15    0.11678424E+06   0.302521E+17   0.567029E+27  -0.206824E+04
   0.315573E+14   0.100001E+07   0.175346E+05   0.999785E+15    0.11678326E+06   0.302516E+17   0.567016E+27  -0.206817E+04
   0.315573E+14   0.100001E+07   0.185081E+05   0.999758E+15    0.11678191E+06   0.302509E+17   0.567001E+27  -0.206806E+04
   0.315573E+14   0.100001E+07   0.195396E+05   0.999733E+15    0.11678068E+06   0.302503E+17   0.566985E+27  -0.206797E+04
   0.315573E+14   0.100001E+07   0.205712E+05   0.999705E+15    0.11677930E+06   0.302496E+17   0.566968E+27  -0.206786E+04
   0.315573E+14   0.100001E+07   0.216027E+05   0.999677E+15    0.11677794E+06   0.302489E+17   0.566950E+27  -0.206776E+04
   0.315573E+14   0.100001E+07   0.226938E+05   0.999640E+15    0.11677612E+06   0.302480E+17   0.566930E+27  -0.206762E+04
   0.315573E+14   0.100001E+07   0.238446E+05   0.999607E+15    0.11677445E+06   0.302472E+17   0.566907E+27  -0.206749E+04
   0.315573E+14   0.100001E+07   0.249953E+05   0.999569E+15    0.11677259E+06   0.302463E+17   0.566884E+27  -0.206735E+04
