model:  21
model depth: 10^{10}g/cc
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
 sigma = 0.700000E+00
The model does not account for superfluidity                                                                                                                                                            
#
   time                timeInYear       surfaceFlux    Tg[K] on rho_b         Ts     neutrinoLosses
   0.3155730000000E+14   0.100001E+07  -0.294541E+28   0.849373E+05   0.401303E+05  -0.417945E+21
   0.3157830000000E+14   0.100068E+07  -0.292159E+28   0.845051E+05   0.400490E+05  -0.405346E+21
   0.3159930000000E+14   0.100134E+07  -0.289800E+28   0.840757E+05   0.399679E+05  -0.393143E+21
   0.3162030000000E+14   0.100201E+07  -0.287445E+28   0.836455E+05   0.398864E+05  -0.381226E+21
   0.3164130000000E+14   0.100267E+07  -0.285020E+28   0.832013E+05   0.398020E+05  -0.369240E+21
   0.3166230000000E+14   0.100334E+07  -0.282665E+28   0.827684E+05   0.397195E+05  -0.357860E+21
   0.3168330000000E+14   0.100400E+07  -0.280255E+28   0.823240E+05   0.396346E+05  -0.346486E+21
   0.3170430000000E+14   0.100467E+07  -0.277888E+28   0.818862E+05   0.395507E+05  -0.335576E+21
   0.3172530000000E+14   0.100534E+07  -0.275605E+28   0.814625E+05   0.394692E+05  -0.325291E+21
   0.3174630000000E+14   0.100600E+07  -0.273344E+28   0.810414E+05   0.393880E+05  -0.315333E+21
   0.3176730000000E+14   0.100667E+07  -0.271047E+28   0.806124E+05   0.393050E+05  -0.305449E+21
   0.3178830000000E+14   0.100733E+07  -0.268760E+28   0.801839E+05   0.392218E+05  -0.295836E+21
   0.3180930000000E+14   0.100800E+07  -0.266447E+28   0.797489E+05   0.391371E+05  -0.286336E+21
   0.3183030000000E+14   0.100866E+07  -0.264227E+28   0.793303E+05   0.390554E+05  -0.277434E+21
   0.3185130000000E+14   0.100933E+07  -0.261940E+28   0.788975E+05   0.389706E+05  -0.268476E+21
   0.3187230000000E+14   0.100999E+07  -0.259719E+28   0.784758E+05   0.388877E+05  -0.259981E+21
   0.3189330000000E+14   0.101066E+07  -0.257516E+28   0.780560E+05   0.388050E+05  -0.251748E+21
   0.3191430000000E+14   0.101132E+07  -0.255322E+28   0.776368E+05   0.387221E+05  -0.243744E+21
   0.3193530000000E+14   0.101199E+07  -0.253189E+28   0.772278E+05   0.386409E+05  -0.236139E+21
   0.3195630000000E+14   0.101266E+07  -0.251086E+28   0.768233E+05   0.385604E+05  -0.228814E+21
   0.3197730000000E+14   0.101332E+07  -0.248962E+28   0.764135E+05   0.384786E+05  -0.221588E+21
   0.3199830000000E+14   0.101399E+07  -0.246843E+28   0.760033E+05   0.383965E+05  -0.214546E+21
   0.3201930000000E+14   0.101465E+07  -0.244727E+28   0.755923E+05   0.383139E+05  -0.207678E+21
   0.3204030000000E+14   0.101532E+07  -0.242610E+28   0.751796E+05   0.382308E+05  -0.200968E+21
   0.3206130000000E+14   0.101598E+07  -0.240610E+28   0.747887E+05   0.381518E+05  -0.194779E+21
   0.3208230000000E+14   0.101665E+07  -0.238581E+28   0.743908E+05   0.380711E+05  -0.188643E+21
   0.3210330000000E+14   0.101731E+07  -0.236494E+28   0.739800E+05   0.379876E+05  -0.182479E+21
   0.3212430000000E+14   0.101798E+07  -0.234452E+28   0.735769E+05   0.379053E+05  -0.176594E+21
   0.3214530000000E+14   0.101864E+07  -0.232437E+28   0.731776E+05   0.378236E+05  -0.170921E+21
   0.3216630000000E+14   0.101931E+07  -0.230455E+28   0.727838E+05   0.377427E+05  -0.165476E+21
   0.3218730000000E+14   0.101998E+07  -0.228391E+28   0.723721E+05   0.376579E+05  -0.159939E+21
   0.3220830000000E+14   0.102064E+07  -0.226394E+28   0.719725E+05   0.375753E+05  -0.154713E+21
