Compiled from output of proftim v.31.05.16
Knonid KeyCONV KOMPOS  Kpl Kbound Kemis Kheat KZin IGNTYP NTS   NTH   NB
     1     1     0     1     1     1     0    26    -1    38     1     1
Composition - Fe, using tables of Z_eff and radiative opacities.
   B12=0
M/Msun:            1.4                        2.0
R/km:             12.6                       12.3
 z:              .2200                      .3870    
 gs14:          1.4278                     2.4334      
(M-M_b)/MSun:   1.016E-09                  5.016E-10
#
48  2
1.4       2.0
 lg(Tb)   RHOB  lg(Ts) L_r(rho_b)    RHOB  lg(Ts) L_r(rho_b)
 5.500  9.70E+07 4.7666 1.320E+28  9.70E+07 4.8244 2.142E+28
 5.600  9.70E+07 4.8141 2.045E+28  9.70E+07 4.8720 3.321E+28
 5.700  9.70E+07 4.8621 3.180E+28  9.70E+07 4.9200 5.165E+28
 5.800  9.70E+07 4.9103 4.958E+28  9.70E+07 4.9682 8.052E+28
 5.900  9.70E+07 4.9581 7.698E+28  9.70E+07 5.0160 1.250E+29
 6.000  9.70E+07 5.0042 1.177E+29  9.70E+07 5.0621 1.912E+29
 6.100  9.70E+07 5.0490 1.778E+29  9.70E+07 5.1068 2.888E+29
 6.200  9.70E+07 5.0927 2.660E+29  9.70E+07 5.1506 4.320E+29
 6.300  9.70E+07 5.1343 3.904E+29  9.70E+07 5.1922 6.341E+29
 6.400  9.70E+07 5.1728 5.564E+29  9.70E+07 5.2307 9.036E+29
 6.500  9.70E+07 5.2096 7.805E+29  9.70E+07 5.2674 1.268E+30
 6.600  9.70E+07 5.2482 1.114E+30  9.70E+07 5.3061 1.810E+30
 6.700  9.70E+07 5.2918 1.664E+30  9.70E+07 5.3497 2.703E+30
 6.800  9.70E+07 5.3399 2.593E+30  9.70E+07 5.3978 4.212E+30
 6.900  9.70E+07 5.3915 4.169E+30  9.70E+07 5.4494 6.772E+30
 7.000  9.70E+07 5.4440 6.765E+30  9.70E+07 5.5019 1.099E+31
 7.100  9.70E+07 5.4957 1.089E+31  9.70E+07 5.5536 1.769E+31
 7.200  9.70E+07 5.5474 1.753E+31  9.70E+07 5.6053 2.847E+31
 7.300  9.70E+07 5.5989 2.817E+31  9.70E+07 5.6568 4.575E+31
 7.400  9.70E+07 5.6487 4.454E+31  9.70E+07 5.7065 7.234E+31
 7.500  9.70E+07 5.6956 6.861E+31  9.70E+07 5.7534 1.114E+32
 7.600  9.70E+07 5.7439 1.071E+32  9.70E+07 5.8018 1.739E+32
 7.700  9.70E+07 5.7974 1.753E+32  9.70E+07 5.8553 2.846E+32
 7.800  9.70E+07 5.8546 2.968E+32  9.70E+07 5.9125 4.821E+32
 7.900  9.70E+07 5.9133 5.096E+32  9.70E+07 5.9712 8.277E+32
 8.000  9.70E+07 5.9730 8.835E+32  9.70E+07 6.0309 1.435E+33
 8.100  9.69E+07 6.0331 1.537E+33  9.69E+07 6.0910 2.497E+33
 8.200  9.69E+07 6.0934 2.677E+33  9.69E+07 6.1513 4.348E+33
 8.300  9.68E+07 6.1535 4.657E+33  9.68E+07 6.2114 7.564E+33
 8.400  9.68E+07 6.2134 8.090E+33  9.67E+07 6.2713 1.314E+34
 8.500  9.67E+07 6.2727 1.396E+34  9.67E+07 6.3306 2.268E+34
 8.600  9.66E+07 6.3296 2.358E+34  9.65E+07 6.3875 3.830E+34
 8.700  9.64E+07 6.3821 3.825E+34  9.63E+07 6.4400 6.213E+34
 8.800  9.61E+07 6.4317 6.041E+34  9.61E+07 6.4896 9.812E+34
 8.900  9.57E+07 6.4819 9.596E+34  9.57E+07 6.5398 1.558E+35
 9.000  9.51E+07 6.5337 1.546E+35  9.51E+07 6.5916 2.511E+35
 9.100  9.43E+07 6.5872 2.530E+35  9.42E+07 6.6451 4.108E+35
 9.200  9.30E+07 6.6428 4.225E+35  9.29E+07 6.7007 6.860E+35
 9.300  9.11E+07 6.7010 7.234E+35  9.10E+07 6.7589 1.173E+36
 9.400  8.83E+07 6.7611 1.282E+36  8.82E+07 6.8193 2.060E+36
 9.500  8.43E+07 6.8215 2.535E+36  8.42E+07 6.8812 3.818E+36
 9.600  7.88E+07 6.8769 6.675E+36  7.86E+07 6.9429 8.289E+36
 9.700  7.16E+07 6.9214 2.388E+37  7.14E+07 6.9994 2.337E+37
 9.800  6.29E+07 6.9801 1.330E+38  6.26E+07 7.0564 8.936E+37
 9.900  5.34E+07 7.0782 7.518E+38  5.31E+07 7.1496 4.534E+38
10.000  4.41E+07 7.2375 3.730E+39  4.38E+07 7.3050 2.222E+39
10.100  3.58E+07 7.4515 1.651E+40  3.55E+07 7.5189 1.017E+40
10.200  2.89E+07 7.7079 6.970E+40  2.85E+07 7.7776 4.880E+40
